"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2015 05:15 - 03/01/2015 05:30","BZN|NL","10125.84","8417.55"
"03/01/2015 05:30 - 03/01/2015 05:45","BZN|NL","10183.74","8495.38"
"03/01/2015 05:45 - 03/01/2015 06:00","BZN|NL","10253.90","8581.65"
"03/01/2015 06:00 - 03/01/2015 06:15","BZN|NL","10323.81","8767.54"
"03/01/2015 06:15 - 03/01/2015 06:30","BZN|NL","10384.88","8925.89"
"03/01/2015 06:30 - 03/01/2015 06:45","BZN|NL","10499.49","9095.36"
"03/01/2015 06:45 - 03/01/2015 07:00","BZN|NL","10644.73","9295.64"
"03/01/2015 07:00 - 03/01/2015 07:15","BZN|NL","10758.66","9585.15"
"03/01/2015 07:15 - 03/01/2015 07:30","BZN|NL","10932.01","9844.95"
"03/01/2015 07:30 - 03/01/2015 07:45","BZN|NL","11107.02","10128.52"
"03/01/2015 07:45 - 03/01/2015 08:00","BZN|NL","11289.56","10433.34"
"03/01/2015 08:00 - 03/01/2015 08:15","BZN|NL","11445.72","10796.25"
"03/01/2015 08:15 - 03/01/2015 08:30","BZN|NL","11689.52","11119.96"
"03/01/2015 08:30 - 03/01/2015 08:45","BZN|NL","12159.32","11332.77"
"03/01/2015 08:45 - 03/01/2015 09:00","BZN|NL","12376.92","11602.83"
"03/01/2015 09:00 - 03/01/2015 09:15","BZN|NL","12560.59","11933.63"
"03/01/2015 09:15 - 03/01/2015 09:30","BZN|NL","12916.86","12207.80"
"03/01/2015 09:30 - 03/01/2015 09:45","BZN|NL","13240.50","12455.07"
"03/01/2015 09:45 - 03/01/2015 10:00","BZN|NL","13202.79","12658.71"
"03/01/2015 10:00 - 03/01/2015 10:15","BZN|NL","13249.52","12823.99"
"03/01/2015 10:15 - 03/01/2015 10:30","BZN|NL","13525.59","12920.45"
"03/01/2015 10:30 - 03/01/2015 10:45","BZN|NL","13836.80","12996.73"
"03/01/2015 10:45 - 03/01/2015 11:00","BZN|NL","14069.61","13057.12"
"03/01/2015 11:00 - 03/01/2015 11:15","BZN|NL","14197.55","13118.14"
"03/01/2015 11:15 - 03/01/2015 11:30","BZN|NL","14351.84","13161.75"
"03/01/2015 11:30 - 03/01/2015 11:45","BZN|NL","14553.00","13187.10"
"03/01/2015 11:45 - 03/01/2015 12:00","BZN|NL","14730.71","13206.44"
"03/01/2015 12:00 - 03/01/2015 12:15","BZN|NL","14788.42","13195.60"
"03/01/2015 12:15 - 03/01/2015 12:30","BZN|NL","14791.55","13183.97"
"03/01/2015 12:30 - 03/01/2015 12:45","BZN|NL","14865.30","13145.42"
"03/01/2015 12:45 - 03/01/2015 13:00","BZN|NL","14838.83","13099.43"
"03/01/2015 13:00 - 03/01/2015 13:15","BZN|NL","14788.45","13042.44"
"03/01/2015 13:15 - 03/01/2015 13:30","BZN|NL","14802.58","13003.75"
"03/01/2015 13:30 - 03/01/2015 13:45","BZN|NL","14887.30","12958.60"
"03/01/2015 13:45 - 03/01/2015 14:00","BZN|NL","14944.43","12922.09"
"03/01/2015 14:00 - 03/01/2015 14:15","BZN|NL","15012.72","12866.89"
"03/01/2015 14:15 - 03/01/2015 14:30","BZN|NL","15068.44","12830.53"
"03/01/2015 14:30 - 03/01/2015 14:45","BZN|NL","15133.40","12792.90"
"03/01/2015 14:45 - 03/01/2015 15:00","BZN|NL","15190.60","12774.22"
"03/01/2015 15:00 - 03/01/2015 15:15","BZN|NL","15280.18","12739.57"
"03/01/2015 15:15 - 03/01/2015 15:30","BZN|NL","15387.85","12730.83"
